UT-500,Utah,Salt Lake City & County CoC,,,,,,,
UT-503,Utah,Utah Balance of State CoC,,,,,,,
UT-504,Utah,Provo,Mountainland CoC,,,,,,
VA-500,Virginia,Richmond,Henrico,Chesterfield,Hanover Counties CoC,,,,
VA-501,Virginia,Norfolk,Chesapeake,Suffolk,Isle of Wight,Southampton Counties CoC,,,
VA-502,Virginia,Roanoke City & County,Salem CoC,,,,,,
VA-503,Virginia,Virginia Beach CoC,,,,,,,
VA-504,Virginia,Charlottesville CoC,,,,,,,
VA-505,Virginia,Newport News,Hampton,Virginia Peninsula CoC,,,,,
VA-507,Virginia,Portsmouth CoC,,,,,,,
VA-508,Virginia,Lynchburg CoC,,,,,,,
VA-513,Virginia,Harrisonburg,Winchester,Western Virginia CoC,,,,,
VA-514,Virginia,Fredericksburg,Spotsylvania,Stafford Counties CoC,,,,,
VA-521,Virginia,Virginia Balance of State CoC,,,,,,,
VA-600,Virginia,Arlington County CoC,,,,,,,
VA-601,Virginia,Fairfax County CoC,,,,,,,
VA-602,Virginia,Loudoun County CoC,,,,,,,
VA-603,Virginia,Alexandria CoC,,,,,,,
VA-604,Virginia,Prince William County CoC,,,,,,,
VI-500,Virgin Islands,Virgin Islands CoC,,,,,,,
VT-500,Vermont,Vermont Balance of State CoC,,,,,,,
VT-501,Vermont,Burlington,Chittenden County CoC,,,,,,
WA-500,Washington,Seattle,King County CoC,,,,,,
WA-501,Washington,Washington Balance of State CoC,,,,,,,
WA-502,Washington,Spokane City & County CoC,,,,,,,
WA-503,Washington,Tacoma,Lakewood,Pierce County CoC,,,,,
WA-504,Washington,Everett,Snohomish County CoC,,,,,,
WA-508,Washington,Vancouver,Clark County CoC,,,,,,
WI-500,Wisconsin,Wisconsin Balance of State CoC,,,,,,,
WI-501,Wisconsin,Milwaukee City & County CoC,,,,,,,
WI-502,Wisconsin,Racine City & County CoC,,,,,,,
WI-503,Wisconsin,Madison,Dane County CoC,,,,,,
WV-500,West Virginia,Wheeling,Weirton Area CoC,,,,,,
WV-501,West Virginia,Huntington,Cabell,Wayne Counties CoC,,,,,
WV-503,West Virginia,Charleston,Kanawha,Putnam,Boone,Clay Counties CoC,,,
WV-508,West Virginia,West Virginia Balance of State CoC,,,,,,,
WY-500,Wyoming,Wyoming Statewide CoC,,,,,,,
